UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH96004924|角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH96004925|角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH96004926|角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH96004927|角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600493 |角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600494 |角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600495 |角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600496 |角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600497 |角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600498 |角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600499 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH960002  |Profile for role SAP_BC_SEFS_ADMIN |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH960004  |Profile for role SAP_BC_SES_ADMIN  |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH960049  |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600491 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004910|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004911|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004912|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004913|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004914|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004915|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004916|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004917|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004918|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004919|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600492 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004920|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004921|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004922|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004923|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004924|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004925|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004926|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH96004927|角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600493 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600494 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600495 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600496 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600497 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600498 |角色的参数文件 ZSAPTEXT            |```````
SAP555|12/01/2020|12:08:13|SAP   |参数文件已添加  |            |                                  |T-SH9600499 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH960002  |Profile for role SAP_BC_SEFS_ADMIN |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH960004  |Profile for role SAP_BC_SES_ADMIN  |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH960049  |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600491 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004910|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004911|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004912|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004913|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004914|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004915|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004916|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004917|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004918|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004919|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600492 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004920|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004921|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004922|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004923|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004924|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004925|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004926|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH96004927|角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600493 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600494 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600495 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600496 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600497 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600498 |角色的参数文件 ZSAPTEXT            |```````
SAP556|12/01/2020|16:00:21|SAP   |参数文件已添加  |            |                                  |T-SH9600499 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH960002  |Profile for role SAP_BC_SEFS_ADMIN |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH960004  |Profile for role SAP_BC_SES_ADMIN  |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH960049  |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600491 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004910|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004911|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004912|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004913|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004914|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004915|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004916|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004917|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004918|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004919|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600492 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004920|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004921|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004922|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004923|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004924|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004925|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004926|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH96004927|角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600493 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600494 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600495 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600496 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600497 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600498 |角色的参数文件 ZSAPTEXT            |```````
SAP557|12/01/2020|16:47:27|SAP   |参数文件已添加  |            |                                  |T-SH9600499 |角色的参数文件 ZSAPTEXT            |```````
SAP558|12/01/2020|21:10:34|SAP   |参数文件已添加  |            |                                  |T-SH960002  |Profile for role SAP_BC_SEFS_ADMIN |```````
SAP558|12/01/2020|21:10:34|SAP   |参数文件已添加  |            |                                  |T-SH960004  |Profile for role SAP_BC_SES_ADMIN  |```````
SAP558|12/01/2020|21:10:34|SAP   |参数文件已添加  |            |                                  |T-SH960049  |角色的参数文件 ZSAPTEXT            |```````
SAP558|12/01/2020|21:10:34|SAP   |参数文件已添加  |            |                                  |T-SH9600491 |角色的参数文件 ZSAPTEXT            |```````
SAP558|12/01/2020|21:10:34|SAP   |参数文件已添加  |            |                                  |T-SH96004910|角色的参数文件 ZSAPTEXT            |```````
SAP558|12/01/2020|21:10:34|SAP   |参数文件已添加  |            |                                  |T-SH96004911|角色的参数文件 ZSAPTEXT            |```````
